From PDFs,From API,Latitude Guess,Longitude Guess,Latitude,Longitude
14th Street At 3rd Avenue,14th Street At Third Avenue,40.733153,-73.986982,40.733153,-73.986982
14th Street At Irving Place,14th Street At Irving Place (Westbound),40.734248,-73.98937,40.734248,-73.98937
1st Avenue At 24th Street,1st Avenue At 25th Street,40.738203,-73.977564,40.737374,-73.978077
1st Avenue At 26th Street,First Avenue At 26th Street,40.739037,-73.976689,40.738203,-73.977564
3rd Avenue At 11th Street,First Avenue At 17th Street,40.733324,-73.981065,40.733261,-73.981178
3rd Avenue At 13th Street,Third Avenue At 13th Street,40.732954,-73.987531,40.732954,-73.987531
3rd Avenue At 14th Street,Third Avenue At 14th Street,40.733222,-73.987282,40.733222,-73.987282
3rd Avenue At 17th Street,Third Avenue At 17th Street,40.734907,-73.986135,40.734907,-73.986135
3rd Avenue At 30th Street,Third Avenue At 30th Street,40.742955,-73.980102,40.742955,-73.980102
6 MetroTech,2 Metro Tech Way,40.693094,-73.985445,40.693934,-73.987116
721 Broadway,Clark,40.697665,-73.993698,40.729383,-73.993534
Broadway At Broome Street,Broadway & Broome Street,40.721657,-74.000022,40.721657,-74.000022
Cadman Plaza At Clark Street,Cadman Plaza & Clark Street,40.696808,-73.991254,40.696808,-73.991254
Canal At Lafayette Street,Canal & Lafayette Street,40.71858,-74.000803,40.71858,-74.000803
Centre Street At Broome Street,20th Street @ Loop Exit,40.73408,-73.9779,40.720887,-73.99757
Centre Street At Canal Street,Bowery at E. 2nd Street,40.726045,-73.992004,40.718184,-73.999762
Greenwich Hotel,Varick Street,40.726818,-74.005646,40.731135,-74.008176
Lafayette Street At East 4th Street,Lafayette & E. 4th Street,40.728036,-73.992904,40.728036,-73.992904
Lexington Avenue At 31st Street,First Avenue At 24th Street,40.737374,-73.978077,40.744448,-73.981223
MetroTech Roadway At Bridge Street,Broadway & Broome St.,40.721657,-74.000022,40.692977,-73.985407
